Code	Scientific	Common	Reverse
20030	'Ploceus cucullatus'	'Village Weaver'	'Ploceus cucullatus'
20040	'Phalacrocorax capensis'	'Cape Cormorant'	'Phalacrocorax capensis'
20050	'Passer griseus'	'Northern Gray-headed Sparrow'	'Passer griseus'
20060	'Pagodroma nivea'	'Snow Petrel'	'Pagodroma nivea'
20070	'Chionis alba'	'NA'	'Chionis alba'
20080	'Hirundo lucida'	'Red-chested Swallow'	'Hirundo lucida'
20090	'Diomedea chrysostoma'	'NA'	'Diomedea chrysostoma'
20100	'Phoebetria palpebrata'	'Light-mantled Albatross'	'Phoebetria palpebrata'
20110	'Macronectes halli'	'Northern Giant-Petrel'	'Macronectes halli'
20120	'Pterodroma brevirostris'	'NA'	'Pterodroma brevirostris'
20130	'Fulmarus glacialoides'	'Southern Fulmar'	'Fulmarus glacialoides'
20140	'Garrodia nereis'	'Grey-backed Storm Petrel'	'Garrodia nereis'
20150	'Porphyrula flavirostris'	'NA'	'Porphyrula flavirostris'
20160	'Halobaena caerulea'	'Blue Petrel'	'Halobaena caerulea'
20170	'Pelecanoides urinatrix'	'Common Diving-Petrel'	'Pelecanoides urinatrix'
20180	'Pelecanoides georgicus'	'South Georgia Diving Petrel'	'Pelecanoides georgicus'
20190	'Phalacrocorax atriceps'	'Blauaugenscharbe'	'Phalacrocorax atriceps'
20191	'Phalacrocorax atriceps atriceps'	'NA'	'Phalacrocorax atriceps atriceps'
20192	'Phalacrocorax atriceps nivalis'	'heard shag'	'Phalacrocorax atriceps nivalis'
20193	'Phalacrocorax atriceps georgianus'	'NA'	'Phalacrocorax atriceps georgianus'
20200	'Pygoscelis adeliae'	'Adelie Penguin'	'Pygoscelis adeliae'
20210	'Pygoscelis antarctica'	'NA'	'Pygoscelis antarctica'
20220	'Pygoscelis papua'	'Gentoo Penguin'	'Pygoscelis papua'
20230	'Phoenicopterus chilensis'	'Chilean Flamingo'	'Phoenicopterus chilensis'
20240	'Quelea quelea'	'Red-billed Quelea'	'Quelea quelea'
20250	'Amandava amandava'	'Amadavad'	'Amandava amandava'
20260	'Lonchura punctulata'	'Scaly-breasted Munia'	'Lonchura punctulata'
20270	'Estrilda troglodytes'	'Black-rumped Waxbill'	'Estrilda troglodytes'
20280	'Rhodopechys githaginea'	'Roselin githagine'	'Rhodopechys githaginea'
20290	'Lonchura malacca'	'Capuchino tricolor'	'Lonchura malacca'
20291	'Lonchura malacca malacca'	'NA'	'Lonchura malacca malacca'
20292	'Lonchura malacca atricapilla'	'Capuchino tricolor'	'Lonchura malacca'
20300	'Eudyptes chrysolophus'	'Macaroni Penguin'	'Eudyptes chrysolophus'
20310	'Ardea melanocephala'	'Black-headed Heron'	'Ardea melanocephala'
20320	'Pachyptila desolata'	'Antarctic Prion'	'Pachyptila desolata'
20330	'Pterodroma incerta'	'Atlantic petrel'	'Pterodroma incerta'
20340	'Cossypha natalensis'	'Red-capped Robin-Chat'	'Cossypha natalensis'
20350	'Sterna hirundinacea'	'South American Tern'	'Sterna hirundinacea'
20360	'Larus maculipennis'	'NA'	'Larus maculipennis'
20370	'Argya fulva'	'Fulvous Babbler'	'Argya fulva'
20380	'Chloephaga picta'	'Upland Goose'	'Chloephaga picta'
20390	'Myiopsitta monachus'	'Monk parakeet'	'Myiopsitta monachus'
20400	'Oceanodroma markhami'	'Paiño de Markham'	'Oceanodroma markhami'
20410	'Ploceus melanocephalus'	'Black-headed Weaver'	'Ploceus melanocephalus'
20420	'Euplectes afer'	'Yellow-crowned Bishop'	'Euplectes afer'
20430	'Estrilda melpoda'	'Orange-cheeked Waxbill'	'Estrilda melpoda'
20439	'Estrilda sp.'	'Cinderella Waxbill'	'Estrilda'
20440	'Poephila guttata'	'キンセイチョウ属'	'Poephila'
20450	'Lonchura maja'	'White-headed munia'	'Lonchura maja'
20459	'Lonchura sp.'	'Pale-headed Munia'	'Lonchura'
20460	'Charadrius marginatus'	'White-fronted Plover'	'Charadrius marginatus'
20470	'Euplectes orix'	'southern red bishop'	'Euplectes orix'
20480	'Euplectes franciscanos'	'Northern Red Bishop'	'Euplectes franciscanus'
20490	'Pterodroma cahow'	'Bermuda Petrel'	'Pterodroma cahow'
20500	'Sula capensis'	'NA'	'Sula capensis'
20600	'Larus dominicanus'	'Kelp Gull'	'Larus dominicanus'
20700	'Sterna vittata'	'rybitwa antarktyczna'	'Sterna vittata'
20800	'Cygnus atratus'	'Black Swan'	'Cygnus atratus'
20900	'Acrocephalus baeticatus'	'African Reed Warbler'	'Acrocephalus baeticatus'
21000	'Andropadus importunus'	'Sombre Greenbul'	'Andropadus importunus'
21100	'Batis senegalensis'	'Senegal Batis'	'Batis senegalensis'
21200	'Camaroptera brachyura'	'Green-backed Camaroptera'	'Camaroptera brachyura'
21300	'Chalcites basalis'	'NA'	'Chalcites basalis'
21400	'Cossypha niveicapilla'	'Snowy-crowned Robin-Chat'	'Cossypha niveicapilla'
21500	'Dicrurus adsimilis'	'Fork-tailed Drongo'	'Dicrurus adsimilis'
21600	'Dryoscopus senegalensis'	'Red-eyed Puffback'	'Dryoscopus senegalensis'
21700	'Elminia longicauda'	'African Blue Flycatcher'	'Elminia longicauda'
21800	'Halcyon senegaloides'	'Mangrove Kingfisher'	'Halcyon senegaloides'
21900	'Melaenomis edolioides'	'Northern Black-Flycatcher'	'Melaenornis edolioides'
22000	'Melaniparus leucomelas'	'White-winged Black-Tit'	'Melaniparus leucomelas'
22100	'Muscicapa caerulescens'	'Ashy Flycatcher'	'Muscicapa caerulescens'
22200	'Myioparus plumbeus'	'Grey Tit-Flycatcher'	'Myioparus plumbeus'
22300	'Nectarinia bifasciata'	'NA'	'Nectarinia bifasciata'
22310	'Nectarinia veroxii'	'NA'	'Nectarinia veroxii'
22400	'Nectarinia pulchella'	'NA'	'Nectarinia pulchella'
22500	'Passer motitensis'	'Great Sparrow'	'Passer motitensis'
22600	'Peliocichla pelios'	'NA'	'Peliocichla'
22700	'Platysteira cyanea'	'Brown-throated Wattle-eye'	'Platysteira cyanea'
22800	'Plocepasser mahali'	'White-browed Sparrow-Weaver'	'Plocepasser mahali'
22900	'Sylvietta brachyura'	'Northern Crombec'	'Sylvietta brachyura'
23000	'Terpsiphone rufiventer'	'Black-headed Paradise-Flycatcher'	'Terpsiphone rufiventer'
23100	'Trochocercus cyanomelas'	'Blue-mantled Crested Flycatcher'	'Trochocercus cyanomelas'
23200	'Accipiter tachiro'	'African goshawk'	'Accipiter tachiro'
23400	'Andropadus virens'	'NA'	'Andropadus virens'
23500	'Andropadus curvirostris'	'NA'	'Andropadus curvirostris'
23600	'Andropadus latirostris'	'NA'	'Andropadus latirostris'
23700	'Phyllastrephus albigularis'	'White-throated Greenbul'	'Phyllastrephus albigularis'
23800	'Bleda canicapilla'	'NA'	'Bleda canicapilla'
23900	'Criniger barbatus'	'Western Bearded Greenbul'	'Criniger barbatus'
24000	'Criniger calurus'	'Red-tailed Greenbul'	'Criniger calurus'
24200	'Stiphrornis erythrothorax'	'Forest Robin'	'Stiphrornis erythrothorax'
24300	'Camaroptera brevicaudata'	'Grey-backed Camaroptera'	'Camaroptera brevicaudata'
24400	'Sylvietta virens'	'Green Crombec'	'Sylvietta virens'
24500	'Hylia prasina'	'Green Hylia'	'Hylia prasina'
24600	'Fraseria cinerascens'	'White-browed Forest Flycatcher'	'Fraseria cinerascens'
24700	'Dyaphorophyia castanea'	'NA'	'Dyaphorophyia castanea'
24800	'Tchitrea rufiventer'	'NA'	'Tchitrea'
24900	'Illadopsis rufescens'	'Rufous-winged Illadopsis'	'Illadopsis rufescens'
24997	'Cage & exotic birds'	'NA'	'Cafe'
24998	'Hybrids & intermediates'	'Argentiinanvyötiäinen'	'Hybridus'
25000	'Trichastoma moloneyanum iboensis'	'White-chested Babbler'	'Trichastoma'
25100	'Anthreptes collaris'	'NA'	'Anthreptes collaris'
25200	'Cyanomitra olivacea'	'Olive Sunbird'	'Cyanomitra olivacea'
25300	'Nicator chloris'	'Western Nicator'	'Nicator chloris'
25400	'Malimbus nitens'	'Blue-billed Malimbe'	'Malimbus nitens'
25500	'Spermophaga haematina'	'Western Bluebill'	'Spermophaga haematina'
25600	'Laniarius aethiopicus'	'Ethiopian Boubou'	'Laniarius aethiopicus'
25700	'Callonetta leucophrys'	'Cudokaczka'	'Callonetta leucophrys'
25800	'Mareca sibilatrix'	'Chiloe Wigeon'	'Mareca sibilatrix'
26000	'Pyrrhura orcesi'	'El Oro Parakeet'	'Pyrrhura orcesi'
26100	'Atlapetes pallidiceps'	'Pale-headed Brushfinch'	'Atlapetes pallidiceps'
26200	'Cyanoliseus patagonus'	'Burrowing Parrot'	'Cyanoliseus patagonus'
26300	'Larus belcheri'	'Belcher\'s Gull'	'Larus belcheri'
26400	'Ploceus castaneiceps'	'Taveta Weaver'	'Ploceus castaneiceps'
26410	'Ploceus capitalis'	'Mnana'	'Ploceus'
26420	'Ploceus intermedius'	'Lesser Masked-Weaver'	'Ploceus intermedius'
26430	'Vidua macroura'	'Pin-tailed Whydah'	'Vidua macroura'
26440	'Estrilda perreina'	'Grey Waxbill'	'Estrilda perreini'
26450	'Estrilda rhodopyga'	'Astrild à croupion rose'	'Estrilda rhodopyga'
26460	'Amaurornis flavirostris'	'NA'	'Amaurornis flavirostris'
26470	'Vanellus albiceps'	'White-crowned Lapwing'	'Vanellus albiceps'
26480	'Illadopsis puveli'	'Puvel\'s Illadopsis'	'Illadopsis puveli'
26490	'Prionops plumatus'	'White Helmetshrike'	'Prionops plumatus'
26500	'Calamator levaillautii'	'Levaillant\'s Cuckoo'	'Clamator levaillantii'
26510	'Streptopelia vinacea'	'Vinaceous Dove'	'Streptopelia vinacea'
26520	'Campethera punctuligera'	'Fine-spotted Woodpecker'	'Campethera punctuligera'
26530	'Turdus pelios'	'African Thrush'	'Turdus pelios'
26540	'Chlorocichla flavicollis'	'NA'	'Chlorocichla flavicollis'
26550	'Lybius dubius'	'Bearded Barbet'	'Lybius dubius'
26560	'Larus argentatus mongolicus'	'NA'	'Larus argentatus mongolicus'
26570	'Anas crecca carolinensis'	'NA'	'Anas crecca carolinensis'
26580	'Sylvia minula'	'Desert Whitethroat'	'Sylvia minula'
26590	'Nettapus auritus'	'African pygmy goose'	'Nettapus auritus'
26600	'Coturnix delegorguei'	'Harlequin quail'	'Coturnix delegorguei'
26610	'Psittacula eupatria'	'Alexandrine Parakeet'	'Psittacula eupatria'
26620	'Euplectes albonotatus'	'White-winged Widowbird'	'Euplectes albonotatus'
26632	'Larus argentatus smithsonianus'	'NA'	'Larus argentatus smithsonianus'
26642	'Motacilla flava leucocephala'	'NA'	'Motacilla flava leucocephala'
26643	'Motacilla flava simillima'	'NA'	'Motacilla flava simillima'
26650	'Tadorna radjah'	'Radjah Shelduck'	'Tadorna radjah'
26660	'Tadorna cana'	'kazarka szarogłowa'	'Tadorna cana'
26670	'Tadorna tadornoides'	'Australian shelduck'	'Tadorna tadornoides'
26680	'Tadorna variegata'	'Paradise shelduck'	'Tadorna variegata'
26690	'Amazona oratrix'	'Yellow-headed Amazon'	'Amazona oratrix'
26700	'Pachyptila belcheri'	'Slender-billed Prion'	'Pachyptila belcheri'
26710	'Centropus superciliosus'	'White-browed Coucal'	'Centropus superciliosus'
26711	'Centropus superciliosus superciliosus'	'NA'	'Centropus superciliosus superciliosus'
26712	'Centropus superciliosus sokotrae'	'NA'	'Centropus superciliosus sokotrae'
26713	'Centropus superciliosus loandae'	'NA'	'Centropus superciliosus loandae'
26714	'Centropus superciliosus burchellii'	'NA'	'Centropus superciliosus burchellii'
26720	'Agelaius cyanopus'	'NA'	'Agelaius cyanopus'
26730	'Ammodramus humeralis'	'Grassland Sparrow'	'Ammodramus humeralis'
26740	'Anthus hellmayri'	'Hellmayr\'s Pipit'	'Anthus hellmayri'
26750	'Aratinga leucophthalmus'	'NA'	'Aratinga leucophthalmus'
26760	'Arremon taciturnus'	'Pectoral Sparrow'	'Arremon taciturnus'
26770	'Attila bolivianus'	'White-eyed Attila'	'Attila bolivianus'
26780	'Buteo magnirostris'	'Gavilán chapulinero'	'Buteo magnirostris'
26790	'Cacicus cela'	'Yellow-rumped Cacique'	'Cacicus cela'
26800	'Camptostoma obsoletum'	'Southern Beardless-Tyrannulet'	'Camptostoma obsoletum'
26810	'Caprimulgus parvulus parvulus'	'NA'	'Caprimulgus parvulus parvulus'
26820	'Certhiaxis cinnamomea'	'NA'	'Certhiaxis cinnamomea'
26830	'Chloroceryle amazona'	'Amazon Kingfisher'	'Chloroceryle amazona'
26840	'Cnemotriccus fuscatus'	'Fuscous Flycatcher'	'Cnemotriccus fuscatus'
26850	'Colaptes campestris'	'Campo Flicker'	'Colaptes campestris'
26860	'Columbina picui'	'Picui Ground-Dove'	'Columbina picui'
26870	'Coryphaspiza melanotis'	'Black-masked Finch'	'Coryphaspiza melanotis'
26880	'Cranioleuca gutturata'	'Speckled Spinetail'	'Cranioleuca gutturata'
26890	'Crypturellus parvirostris'	'Small-billed Tinamou'	'Crypturellus parvirostris'
26900	'Culicivora caudacuta'	'Sharp-tailed Grass Tyrant'	'Culicivora caudacuta'
26910	'Deconychura longicauda'	'Long-tailed Woodcreeper'	'Deconychura longicauda'
26920	'Dendrocincla merula'	'White-chinned Woodcreeper'	'Dendrocincla merula'
26921	'Dendrocincla merula merula'	'NA'	'Dendrocincla merula merula'
26930	'Donacobius atricapilla'	'Black-capped Donacobius'	'Donacobius atricapilla'
26940	'Donacospiza albifrons'	'Long-tailed Reed Finch'	'Donacospiza albifrons'
26950	'Dysithamnus mentalis'	'Plain Antvireo'	'Dysithamnus mentalis'
26960	'Elaenia flavogaster'	'Yellow-bellied Elaenia'	'Elaenia flavogaster'
26970	'Elaenia parvirostris'	'Small-billed Elaenia'	'Elaenia parvirostris'
26980	'Emberizoides herbicola'	'Wedge-tailed Grass-Finch'	'Emberizoides herbicola'
26990	'Eucometis penicillata'	'Gray-headed Tanager'	'Eucometis penicillata'
26991	'Eucometis penicillata penicillata'	'NA'	'Eucometis penicillata penicillata'
27000	'Euphonia chlorotica'	'Purple-throated Euphonia'	'Euphonia chlorotica'
27010	'Euphonia laniirostris'	'Thick-billed Euphonia'	'Euphonia laniirostris'
27011	'Euphonia laniirostris laniirostris'	'NA'	'Euphonia laniirostris laniirostris'
27020	'Formicivora rufa'	'Rusty-backed Antwren'	'Formicivora rufa'
27030	'Furnarius leucopus'	'Pale-legged Hornero'	'Furnarius leucopus'
27031	'Furnarius leucopus leucopus'	'NA'	'Furnarius leucopus leucopus'
27040	'Furnarius rufus'	'Rufous hornero'	'Furnarius rufus'
27050	'Galbula ruficauda'	'Rufous-tailed Jacamar'	'Galbula ruficauda'
27051	'Galbula ruficauda ruficauda'	'NA'	'Galbula ruficauda ruficauda'
27060	'Geothlypis aequinoctialis'	'メンガタアメリカムシクイ'	'Geothlypis aequinoctialis'
27061	'Geothlypis aequinoctialis aequinoctialis'	'NA'	'Geothlypis aequinoctialis aequinoctialis'
27070	'Hemitriccus flammulatus'	'Flammulated Bamboo Tyrant'	'Hemitriccus flammulatus'
27080	'Hemitriccus zosterops'	'White-eyed Tody-Tyrant'	'Hemitriccus zosterops'
27090	'Hydropsalis brasiliana'	'NA'	'Hydropsalis brasiliana'
27100	'Icterus cayanensis'	'Epaulet Oriole'	'Icterus cayanensis'
27110	'Inezia inornata'	'Plain Inezia'	'Inezia inornata'
27120	'Jacana jacana'	'Wattled Jacana'	'Jacana jacana'
27130	'Knipolegus hudsoni'	'Hudson\'s Black Tyrant'	'Knipolegus hudsoni'
27140	'Laterallus melanophaius'	'Rufous-sided Crake'	'Laterallus melanophaius'
27150	'Lathrotriccus euleri'	'Euler\'s Flycatcher'	'Lathrotriccus euleri'
27160	'Lepidocolaptes angustirostris'	'Narrow-billed Woodcreeper'	'Lepidocolaptes angustirostris'
27170	'Leptopogon amaurocephalus'	'Sepia-capped Flycatcher'	'Leptopogon amaurocephalus'
27180	'Leptotila rufaxilla'	'Gray Fronted Dove'	'Leptotila rufaxilla'
27190	'Leucopternis schistacea'	'NA'	'Leucopternis schistacea'
27200	'Mimus saturninus'	'Chalk-browed Mockingbird'	'Mimus saturninus'
27210	'Momotus momota'	'Amazonian motmot'	'Momotus momota'
27211	'Momotus momota momota'	'NA'	'Momotus momota momota'
27212	'Momotus momota coeruliceps'	'NA'	'Momotus momota coeruliceps'
27220	'Monasa nigrifrons'	'Black-fronted Nunbird'	'Monasa nigrifrons'
27230	'Myiarchus ferox'	'Short-crested Flycatcher'	'Myiarchus ferox'
27240	'Myiarchus swainsoni'	'Swainson\'s Flycatcher'	'Myiarchus swainsoni'
27250	'Myiophobus fasciatus'	'Bran-colored Flycatcher'	'Myiophobus fasciatus'
