Code	Scientific	Common	Reverse
5322	'Limosa limosa islandica'	'NA'	'Limosa limosa islandica'
5330	'Limosa haemastica'	'Hudsonian godwit'	'Limosa haemastica'
5340	'Limosa lapponica'	'Bar-tailed Godwit'	'Limosa lapponica'
5341	'Limosa lapponica lapponica'	'NA'	'Limosa lapponica lapponica'
5350	'Limosa fedoa'	'Marbled godwit'	'Limosa fedoa'
5360	'Numenius minutus'	'Little Curlew'	'Numenius minutus'
5370	'Numenius borealis'	'Eskimo Curlew'	'Numenius borealis'
5380	'Numenius phaeopus'	'Whimbrel'	'Numenius phaeopus'
5381	'Numenius hudsonicus'	'Amerikaanse Regenwulp'	'Numenius hudsonicus'
5390	'Numenius tahitiensis'	'Bristle-thighed Curlew'	'Numenius tahitiensis'
5400	'Numenius tenuirostris'	'Slender-billed curlew'	'Numenius tenuirostris'
5410	'Numenius arquata'	'Eurasian curlew'	'Numenius arquata'
5420	'Numenius americanus'	'Long-billed curlew'	'Numenius americanus'
5430	'Numenius madagascariensis'	'Far Eastern curlew'	'Numenius madagascariensis'
5439	'Numenius sp.'	'Far Eastern curlew'	'Numenius'
5440	'Bartramia longicauda'	'Upland sandpiper'	'Bartramia longicauda'
5450	'Tringa erythropus'	'Spotted redshank'	'Tringa erythropus'
5460	'Tringa totanus'	'Common redshank'	'Tringa totanus'
5461	'Tringa totanus totanus'	'NA'	'Tringa totanus totanus'
5462	'Tringa totanus robusta'	'NA'	'Tringa totanus robusta'
5470	'Tringa stagnatilis'	'Marsh sandpiper'	'Tringa stagnatilis'
5480	'Tringa nebularia'	'Common greenshank'	'Tringa nebularia'
5490	'Tringa guttifer'	'Nordmann\'s Greenshank'	'Tringa guttifer'
5500	'Tringa melanoleuca'	'Greater Yellowlegs'	'Tringa melanoleuca'
5510	'Tringa flavipes'	'Lesser yellowlegs'	'Tringa flavipes'
5520	'Tringa solitaria'	'Solitary sandpiper'	'Tringa solitaria'
5530	'Tringa ochropus'	'Green sandpiper'	'Tringa ochropus'
5540	'Tringa glareola'	'Wood sandpiper'	'Tringa glareola'
5550	'Xenus cinereus'	'Terek Sandpiper'	'Xenus cinereus'
5560	'Actitis hypoleucos'	'Common sandpiper'	'Actitis hypoleucos'
5570	'Actitis macularia'	'NA'	'Actitis macularia'
5580	'Heteroscelus brevipes'	'NA'	'Heteroscelus brevipes'
5590	'Heteroscelus incanus'	'Alaskavandresnipe'	'Heteroscelus incanus'
5600	'Catoptrophorus semipalmatus'	'willet'	'Catoptrophorus semipalmatus'
5610	'Arenaria interpres'	'Canadian ruddy turnstone'	'Arenaria interpres'
