"Code" "Name" "Rev" "Common"
"10340" "Pycnonotus sinensis" "Pycnonotus sinensis" "Light-vented Bulbul"
"10350" "Pycnonotus leucogenys" "Pycnonotus leucogenys" "White-Cheeked Bulbul"
"10360" "Pycnonotus xanthopygos" "Pycnonotus xanthopygos" "White-spectacled Bulbul"
"10370" "Pycnonotus barbatus" "Pycnonotus barbatus" "Common Bulbul"
"10380" "Hypsipetes mcclellandii" "Hypsipetes mcclellandii" "NA"
"10390" "Hypsipetes amaurotis" "Hypsipetes amaurotis" "Brown-eared Bulbul"
"10400" "Hypsipetes madagascariensis" "Hypsipetes madagascariensis" "Madagascar bulbul"
"10410" "Chloropsis hardwickii" "Chloropsis hardwickii" "Orange-bellied Leafbird"
"10420" "Myadestes townsendi" "Myadestes townsendi" "Townsend's Solitaire"
"10430" "Myadestes obscurus" "Myadestes obscurus" "Omao"
"10440" "Phainopepla nitens" "Phainopepla nitens" "Phainopepla"
"10450" "Ptilogonys cinereus" "Ptilogonys cinereus" "NA"
"10460" "Bombycilla cedrorum" "Bombycilla cedrorum" "Cedar Waxwing"
"10470" "Bombycilla japonica" "Bombycilla japonica" "Japanese Waxwing"
"10480" "Bombycilla garrulus" "Bombycilla garrulus" "Bohemian waxwing"
"10490" "Hypocolius ampelinus" "Hypocolius ampelinus" "Grey Hypocolius"
"10500" "Cinclus cinclus" "Cinclus cinclus" "Dipper"
"10501" "Cinclus cinclus cinclus" "Cinclus cinclus cinclus" "NA"
"10502" "Cinclus cinclus caucasicus" "Cinclus cinclus caucasicus" "NA"
"10503" "Cinclus cinclus aquaticus" "Cinclus cinclus aquaticus" "NA"
"10504" "Cinclus cinclus gularis" "Cinclus cinclus gularis" "NA"
"10510" "Cinclus pallasii" "Cinclus pallasii" "Brown Dipper"
"10520" "Cinclus mexicanus" "Cinclus mexicanus" "American dipper"
"10530" "Campylorhynchus jocosus" "Campylorhynchus jocosus" "Boucard's Wren"
"10540" "Campylorhynchus gularis" "Campylorhynchus gularis" "Spotted Wren"
"10550" "Campylorhynchus brunneicapillus" "Campylorhynchus brunneicapillus" "Cactus Wren"
"10560" "Salpinctes obsoletus" "Salpinctes obsoletus" "Rock Wren"
"10580" "Cistothorus platensis" "Cistothorus platensis" "Sedge Wren"
"10590" "Cistothorus palustris" "Cistothorus palustris" "Marsh Wren"
"10600" "Thryomanes bewickii" "Thryomanes bewickii" "Bewick's Wren"
"10610" "Thryothorus felix" "Thryothorus felix" "NA"
"10620" "Thryothorus maculipectus" "Thryothorus maculipectus" "NA"
"10630" "Thryothorus ludovicianus" "Thryothorus ludovicianus" "Carolina Wren"
"10640" "Thryothorus sinaloa" "Thryothorus sinaloa" "NA"
"10650" "Troglodytes aedon" "Troglodytes aedon" "House Wren"
"10660" "Troglodytes troglodytes" "Troglodytes troglodytes" "Eurasian Wren"
"10670" "Mimus polyglottos" "Mimus polyglottos" "Northern mockingbird"
"10680" "Mimus gundlachii" "Mimus gundlachii" "Bahama Mockingbird"
"10690" "Toxostoma rufum" "Toxostoma rufum" "Brown thrasher"
"10700" "Toxostoma longirostre" "Toxostoma longirostre" "Long-billed Thrasher"
"10710" "Toxostoma bendirei" "Toxostoma bendirei" "Bendire's Thrasher"
"10720" "Toxostoma cinereum" "Toxostoma cinereum" "Gray Thrasher"
"10730" "Toxostoma ocellatum" "Toxostoma ocellatum" "Ocellated Thrasher"
"10740" "Toxostoma curvirostre" "Toxostoma curvirostre" "Curve-billed Thrasher"
"10750" "Toxostoma lecontei" "Toxostoma lecontei" "LeConte's Thrasher"
"10760" "Toxostoma dorsale" "Toxostoma dorsale" "NA"
"10770" "Toxostoma redivivum" "Toxostoma redivivum" "California Thrasher"
"10780" "Oreoscoptes montanus" "Oreoscoptes montanus" "Sage Thrasher"
"10790" "Margarops fuscatus" "Margarops fuscatus" "Pearly-eyed Thrasher"
"10800" "Dumetella carolinensis" "Dumetella carolinensis" "Grey catbird"
"10810" "Melanotis caerulescens" "Melanotis caerulescens" "Blue Mockingbird"
"10820" "Prunella immaculata" "Prunella immaculata" "Maroon-backed Accentor"
"10830" "Prunella rubida" "Prunella rubida" "Japanese Accentor"
"10840" "Prunella modularis" "Prunella modularis" "Hedge accentor"
"10850" "Prunella strophiata" "Prunella strophiata" "Rufous-breasted Accentor"
"10860" "Prunella montanella" "Prunella montanella" "Siberian accentor"
"10870" "Prunella fulvescens" "Prunella fulvescens" "Brown Accentor"
"10880" "Prunella ocularis" "Prunella ocularis" "Radde's Accentor"
"10890" "Prunella fagani" "Prunella fagani" "Arabian Accentor"
"10900" "Prunella atrogularis" "Prunella atrogularis" "Black-throated Accentor"
"10910" "Prunella koslowi" "Prunella koslowi" "Kozlov's Accentor"
"10920" "Prunella rubeculoides" "Prunella rubeculoides" "Robin Accentor"
